cohort_month,period_number,active_customers,cohort_size,retention_pct
2024-01-01,0,61,61,100.0
2024-01-01,1,7,61,11.5
2024-01-01,2,16,61,26.2
2024-01-01,3,11,61,18.0
2024-01-01,4,11,61,18.0
2024-01-01,5,9,61,14.8
2024-01-01,6,6,61,9.8
2024-01-01,7,18,61,29.5
2024-01-01,8,11,61,18.0
2024-01-01,9,12,61,19.7
2024-01-01,10,14,61,23.0
2024-01-01,11,7,61,11.5
2024-02-01,0,36,36,100.0
2024-02-01,1,4,36,11.1
2024-02-01,2,6,36,16.7
2024-02-01,3,5,36,13.9
2024-02-01,4,7,36,19.4
2024-02-01,5,2,36,5.6
2024-02-01,6,2,36,5.6
2024-02-01,7,11,36,30.6
2024-02-01,8,9,36,25.0
2024-02-01,9,3,36,8.3
2024-02-01,10,6,36,16.7
2024-03-01,0,41,41,100.0
2024-03-01,1,9,41,22.0
2024-03-01,2,6,41,14.6
2024-03-01,3,4,41,9.8
2024-03-01,4,7,41,17.1
2024-03-01,5,5,41,12.2
2024-03-01,6,4,41,9.8
2024-03-01,7,10,41,24.4
2024-03-01,8,9,41,22.0
2024-03-01,9,5,41,12.2
2024-04-01,0,23,23,100.0
2024-04-01,1,2,23,8.7
2024-04-01,2,7,23,30.4
2024-04-01,3,3,23,13.0
2024-04-01,4,4,23,17.4
2024-04-01,5,2,23,8.7
2024-04-01,6,5,23,21.7
2024-04-01,7,5,23,21.7
2024-04-01,8,5,23,21.7
2024-05-01,0,24,24,100.0
2024-05-01,1,3,24,12.5
2024-05-01,2,3,24,12.5
2024-05-01,3,5,24,20.8
2024-05-01,4,1,24,4.2
2024-05-01,5,5,24,20.8
2024-05-01,6,4,24,16.7
2024-05-01,7,5,24,20.8
2024-06-01,0,18,18,100.0
2024-06-01,1,4,18,22.2
2024-06-01,2,3,18,16.7
2024-06-01,3,3,18,16.7
2024-06-01,4,3,18,16.7
2024-06-01,5,5,18,27.8
2024-06-01,6,3,18,16.7
2024-07-01,0,13,13,100.0
2024-07-01,1,4,13,30.8
2024-07-01,2,2,13,15.4
2024-07-01,3,6,13,46.2
2024-07-01,4,2,13,15.4
2024-07-01,5,4,13,30.8
2024-08-01,0,16,16,100.0
2024-08-01,1,7,16,43.8
2024-08-01,2,5,16,31.3
2024-08-01,3,3,16,18.8
2024-08-01,4,2,16,12.5
2024-09-01,0,14,14,100.0
2024-09-01,1,1,14,7.1
2024-09-01,2,1,14,7.1
2024-09-01,3,6,14,42.9
2024-10-01,0,11,11,100.0
2024-10-01,1,1,11,9.1
2024-10-01,2,1,11,9.1
2024-11-01,0,6,6,100.0
2024-12-01,0,4,4,100.0
