customer_id,recency,frequency,monetary,R,F,M,rfm_score,segment
1,9,8,2632.00,5,5,5,15,Champions
2,246,1,720.00,1,1,2,4,Lost
3,40,1,180.00,4,1,1,6,Potential Loyalists
4,81,4,774.00,3,4,3,10,Loyal
5,36,6,2465.00,4,5,5,14,Loyal
6,192,3,1597.00,2,3,4,9,At Risk
7,95,2,1087.00,3,2,3,8,Potential Loyalists
8,161,2,581.00,2,2,2,6,Lost
9,81,2,489.00,3,2,1,6,Potential Loyalists
10,180,3,642.00,2,3,2,7,At Risk
11,30,1,2131.00,5,1,5,11,Potential Loyalists
12,31,3,572.00,5,3,2,10,Loyal
13,16,5,5048.00,5,5,5,15,Champions
14,48,2,1361.00,4,2,4,10,Potential Loyalists
15,105,3,1908.00,3,3,5,11,Loyal
16,219,1,446.00,1,1,1,3,Lost
17,196,1,500.00,2,1,2,5,Lost
18,7,1,20.00,5,1,1,7,Potential Loyalists
21,109,1,156.00,2,1,1,4,Lost
22,78,3,703.00,3,3,2,8,Loyal
23,17,3,257.00,5,3,1,9,Loyal
25,100,3,2063.00,3,3,5,11,Loyal
26,71,3,956.00,3,3,3,9,Loyal
27,2,1,33.00,5,1,1,7,Potential Loyalists
28,50,4,721.00,4,4,2,10,Loyal
29,75,2,1006.00,3,2,3,8,Potential Loyalists
30,145,1,994.00,2,1,3,6,Lost
31,307,1,78.00,1,1,1,3,Lost
33,207,2,777.00,2,2,3,7,Lost
34,18,2,1792.00,5,2,4,11,Potential Loyalists
35,77,3,1068.00,3,3,3,9,Loyal
36,64,4,1677.00,4,4,4,12,Loyal
37,139,2,507.00,2,2,2,6,Lost
38,25,5,1874.00,5,5,5,15,Champions
39,48,8,4564.00,4,5,5,14,Loyal
40,41,1,492.00,4,1,2,7,Potential Loyalists
41,164,1,695.00,2,1,2,5,Lost
42,268,1,93.00,1,1,1,3,Lost
43,123,2,1052.00,2,2,3,7,Lost
44,10,3,435.00,5,3,1,9,Loyal
45,79,1,246.00,3,1,1,5,Potential Loyalists
46,97,3,1965.00,3,3,5,11,Loyal
47,58,3,710.00,4,3,2,9,Loyal
48,142,2,796.00,2,2,3,7,Lost
49,19,4,2157.00,5,4,5,14,Loyal
50,78,1,270.00,3,1,1,5,Potential Loyalists
51,53,4,1092.00,4,4,3,11,Loyal
52,71,2,784.00,3,2,3,8,Potential Loyalists
53,5,5,1459.00,5,5,4,14,Champions
54,64,5,1847.00,3,5,4,12,Loyal
55,21,2,525.00,5,2,2,9,Potential Loyalists
56,41,2,725.00,4,2,2,8,Potential Loyalists
57,96,1,320.00,3,1,1,5,Potential Loyalists
58,37,4,2554.00,4,4,5,13,Loyal
60,27,2,1209.00,5,2,3,10,Potential Loyalists
61,84,1,542.00,3,1,2,6,Potential Loyalists
62,157,2,2225.00,2,2,5,9,Lost
63,73,6,2538.00,3,5,5,13,Loyal
65,21,3,716.00,5,3,2,10,Loyal
66,279,1,545.00,1,1,2,4,Lost
67,277,1,961.00,1,1,3,5,Lost
