order_month,customer_type,revenue
2024-01-01,New,30948.00
2024-02-01,New,19111.00
2024-02-01,Returning,4188.00
2024-03-01,New,18918.00
2024-03-01,Returning,8096.00
2024-04-01,New,14182.00
2024-04-01,Returning,13657.00
2024-05-01,New,11444.00
2024-05-01,Returning,11517.00
2024-06-01,New,9564.00
2024-06-01,Returning,13255.00
2024-07-01,New,8395.00
2024-07-01,Returning,15724.00
2024-08-01,New,5739.00
2024-08-01,Returning,21632.00
2024-09-01,New,5531.00
2024-09-01,Returning,17801.00
2024-10-01,New,4938.00
2024-10-01,Returning,25922.00
2024-11-01,New,1883.00
2024-11-01,Returning,21873.00
2024-12-01,New,2362.00
2024-12-01,Returning,24431.00
