product_id,product_name,category,revenue,quantity_sold,orders,avg_price,revenue_share_pct,product_rank,cumulative_revenue_pct
16,Product_16,Makeup,9732.00,135,44,73.59,3.13,1,3.1
45,Product_45,Body,9644.00,154,44,64.37,3.10,2,6.2
25,Product_25,Hair,9527.00,131,38,73.58,3.06,3,9.3
23,Product_23,Body,9426.00,132,46,68.87,3.03,4,12.3
6,Product_6,Body,8661.00,132,40,65.33,2.78,5,15.1
47,Product_47,Hair,8119.00,128,40,64.20,2.61,6,17.7
13,Product_13,Skin,8065.00,113,37,72.61,2.59,7,20.3
4,Product_4,Body,7788.00,120,37,65.03,2.50,8,22.8
32,Product_32,Body,7735.00,131,38,60.95,2.49,9,25.3
14,Product_14,Body,7474.00,100,34,72.44,2.40,10,27.7
26,Product_26,Makeup,7336.00,115,36,61.69,2.36,11,30.1
31,Product_31,Body,7215.00,103,34,69.51,2.32,12,32.4
43,Product_43,Hair,6846.00,98,34,64.51,2.20,13,34.6
15,Product_15,Makeup,6735.00,97,34,68.43,2.16,14,36.7
42,Product_42,Skin,6655.00,117,35,56.08,2.14,15,38.9
17,Product_17,Hair,6655.00,109,37,65.16,2.14,16,41.0
8,Product_8,Body,6546.00,87,31,76.06,2.10,17,43.1
7,Product_7,Hair,6339.00,103,32,64.81,2.04,18,45.2
35,Product_35,Skin,6329.00,110,35,61.83,2.03,19,47.2
20,Product_20,Hair,6292.00,95,29,62.93,2.02,20,49.2
40,Product_40,Hair,6127.00,90,28,66.03,1.97,21,51.2
19,Product_19,Makeup,6113.00,100,32,59.09,1.96,22,53.2
18,Product_18,Makeup,5990.00,96,36,61.65,1.93,23,55.1
12,Product_12,Skin,5989.00,94,29,63.69,1.93,24,57.0
44,Product_44,Body,5880.00,97,30,62.90,1.89,25,58.9
21,Product_21,Hair,5845.00,97,30,62.17,1.88,26,60.8
28,Product_28,Hair,5699.00,88,36,67.17,1.83,27,62.6
34,Product_34,Hair,5698.00,98,33,59.39,1.83,28,64.4
1,Product_1,Body,5642.00,101,34,57.83,1.81,29,66.2
50,Product_50,Skin,5627.00,74,27,72.61,1.81,30,68.1
49,Product_49,Makeup,5626.00,89,29,64.42,1.81,31,69.9
30,Product_30,Hair,5548.00,92,32,58.81,1.78,32,71.6
38,Product_38,Makeup,5547.00,91,27,63.74,1.78,33,73.4
29,Product_29,Makeup,5485.00,98,32,55.61,1.76,34,75.2
5,Product_5,Skin,5429.00,74,27,72.19,1.75,35,76.9
22,Product_22,Makeup,5395.00,84,33,60.42,1.73,36,78.7
33,Product_33,Hair,5264.00,80,28,67.79,1.69,37,80.4
39,Product_39,Hair,5259.00,88,29,61.52,1.69,38,82.1
36,Product_36,Skin,4948.00,70,25,71.40,1.59,39,83.6
27,Product_27,Makeup,4941.00,82,28,61.75,1.59,40,85.2
48,Product_48,Hair,4936.00,86,26,61.37,1.59,41,86.8
24,Product_24,Hair,4784.00,79,29,64.50,1.54,42,88.4
41,Product_41,Skin,4745.00,73,24,60.38,1.53,43,89.9
9,Product_9,Makeup,4637.00,86,26,53.31,1.49,44,91.4
46,Product_46,Makeup,4617.00,71,27,64.26,1.48,45,92.9
10,Product_10,Hair,4606.00,62,23,66.91,1.48,46,94.3
2,Product_2,Skin,4591.00,84,30,56.37,1.48,47,95.8
37,Product_37,Makeup,4574.00,76,26,62.52,1.47,48,97.3
11,Product_11,Makeup,4357.00,64,19,64.76,1.40,49,98.7
3,Product_3,Hair,4093.00,74,26,55.00,1.32,50,100.0
