customer_id,recency,frequency,monetary,R,F,M,rfm_score,segment
1,9,8,2632,5,5,5,15,Champions
2,246,1,720,1,1,2,4,Lost
3,40,1,180,4,1,1,6,Potential Loyalists
4,81,4,774,3,4,3,10,Loyal
5,36,6,2465,4,5,5,14,Loyal
6,192,3,1597,2,3,4,9,At Risk
7,95,2,1087,3,2,3,8,Potential Loyalists
8,161,2,581,2,2,2,6,Lost
9,81,2,489,3,2,1,6,Potential Loyalists
10,180,3,642,2,3,2,7,At Risk
11,30,1,2131,5,1,5,11,Potential Loyalists
12,31,3,572,5,3,2,10,Loyal
13,16,5,5048,5,5,5,15,Champions
14,48,2,1361,4,2,4,10,Potential Loyalists
15,105,3,1908,3,3,5,11,Loyal
16,219,1,446,1,1,1,3,Lost
17,196,1,500,2,1,2,5,Lost
18,7,1,20,5,1,1,7,Potential Loyalists
21,109,1,156,3,1,1,5,Potential Loyalists
22,78,3,703,3,3,2,8,Loyal
23,17,3,257,5,3,1,9,Loyal
25,100,3,2063,3,3,5,11,Loyal
26,71,3,956,3,3,3,9,Loyal
27,2,1,33,5,1,1,7,Potential Loyalists
28,50,4,721,4,4,2,10,Loyal
29,75,2,1006,3,2,3,8,Potential Loyalists
30,145,1,994,2,1,3,6,Lost
31,307,1,78,1,1,1,3,Lost
33,207,2,777,2,2,3,7,Lost
34,18,2,1792,5,2,4,11,Potential Loyalists
35,77,3,1068,3,3,3,9,Loyal
36,64,4,1677,4,4,4,12,Loyal
37,139,2,507,2,2,2,6,Lost
38,25,5,1874,5,5,5,15,Champions
39,48,8,4564,4,5,5,14,Loyal
40,41,1,492,4,1,2,7,Potential Loyalists
41,164,1,695,2,1,2,5,Lost
42,268,1,93,1,1,1,3,Lost
43,123,2,1052,2,2,3,7,Lost
44,10,3,435,5,3,1,9,Loyal
45,79,1,246,3,1,1,5,Potential Loyalists
46,97,3,1965,3,3,5,11,Loyal
47,58,3,710,4,3,2,9,Loyal
48,142,2,796,2,2,3,7,Lost
49,19,4,2157,5,4,5,14,Loyal
50,78,1,270,3,1,1,5,Potential Loyalists
51,53,4,1092,4,4,3,11,Loyal
52,71,2,784,3,2,3,8,Potential Loyalists
53,5,5,1459,5,5,4,14,Champions
54,64,5,1847,4,5,4,13,Loyal
55,21,2,525,5,2,2,9,Potential Loyalists
56,41,2,725,4,2,2,8,Potential Loyalists
57,96,1,320,3,1,1,5,Potential Loyalists
58,37,4,2554,4,4,5,13,Loyal
60,27,2,1209,5,2,3,10,Potential Loyalists
61,84,1,542,3,1,2,6,Potential Loyalists
62,157,2,2225,2,2,5,9,Lost
63,73,6,2538,3,5,5,13,Loyal
65,21,3,716,5,3,2,10,Loyal
66,279,1,545,1,1,2,4,Lost
67,277,1,961,1,1,3,5,Lost
68,151,1,844,2,1,3,6,Lost
69,276,5,1619,1,5,4,10,At Risk
70,9,2,1444,5,2,4,11,Potential Loyalists
72,282,2,63,1,2,1,4,Lost
74,362,1,536,1,1,2,4,Lost
75,185,3,1650,2,3,4,9,At Risk
76,64,4,3330,4,4,5,13,Loyal
78,7,3,696,5,3,2,10,Loyal
81,11,4,1625,5,4,4,13,Loyal
82,290,1,330,1,1,1,3,Lost
84,142,3,1265,2,3,4,9,At Risk
85,293,1,210,1,1,1,3,Lost
86,4,3,2039,5,3,5,13,Loyal
88,253,1,592,1,1,2,4,Lost
89,97,2,299,3,2,1,6,Potential Loyalists
90,89,4,1371,3,4,4,11,Loyal
91,308,1,653,1,1,2,4,Lost
92,102,3,1256,3,3,4,10,Loyal
93,146,2,986,2,2,3,7,Lost
94,50,2,977,4,2,3,9,Potential Loyalists
95,61,3,266,4,3,1,8,Loyal
96,211,3,2200,2,3,5,10,At Risk
97,75,2,562,3,2,2,7,Potential Loyalists
99,31,7,2524,5,5,5,15,Champions
100,252,3,1251,1,3,4,8,At Risk
101,3,4,2385,5,4,5,14,Loyal
103,61,2,584,4,2,2,8,Potential Loyalists
104,35,4,1268,4,4,4,12,Loyal
105,7,1,178,5,1,1,7,Potential Loyalists
106,57,2,1172,4,2,3,9,Potential Loyalists
107,141,2,1401,2,2,4,8,Lost
108,98,2,1414,3,2,4,9,Potential Loyalists
109,191,2,508,2,2,2,6,Lost
110,289,1,495,1,1,2,4,Lost
111,82,3,1959,3,3,5,11,Loyal
112,96,2,1722,3,2,4,9,Potential Loyalists
113,56,6,2960,4,5,5,14,Loyal
114,327,1,243,1,1,1,3,Lost
115,206,1,766,2,1,3,6,Lost
116,100,1,41,3,1,1,5,Potential Loyalists
117,139,2,1439,2,2,4,8,Lost
118,115,5,2787,2,5,5,12,At Risk
119,65,2,227,3,2,1,6,Potential Loyalists
120,304,1,490,1,1,2,4,Lost
121,236,1,202,1,1,1,3,Lost
122,139,3,1931,2,3,5,10,At Risk
123,101,1,366,3,1,1,5,Potential Loyalists
125,264,1,270,1,1,1,3,Lost
126,43,6,2960,4,5,5,14,Loyal
127,73,4,2189,3,4,5,12,Loyal
128,193,2,1040,2,2,3,7,Lost
129,110,3,1174,2,3,3,8,At Risk
130,54,4,2949,4,4,5,13,Loyal
131,111,3,1852,2,3,5,10,At Risk
132,205,1,667,2,1,2,5,Lost
133,59,5,1477,4,5,4,13,Loyal
134,56,4,1613,4,4,4,12,Loyal
135,246,2,1641,1,2,4,7,Lost
136,29,3,2216,5,3,5,13,Loyal
137,21,3,864,5,3,3,11,Loyal
138,191,1,622,2,1,2,5,Lost
139,102,1,1196,3,1,3,7,Potential Loyalists
140,65,2,828,3,2,3,8,Potential Loyalists
141,316,1,12,1,1,1,3,Lost
142,33,2,1308,5,2,4,11,Potential Loyalists
143,138,3,2129,2,3,5,10,At Risk
144,60,7,3420,4,5,5,14,Loyal
145,34,5,1981,5,5,5,15,Champions
146,365,1,206,1,1,1,3,Lost
147,129,4,1306,2,4,4,10,At Risk
148,91,4,2018,3,4,5,12,Loyal
149,16,2,372,5,2,1,8,Potential Loyalists
150,47,3,885,4,3,3,10,Loyal
151,13,3,1188,5,3,3,11,Loyal
152,1,6,4309,5,5,5,15,Champions
153,249,2,1756,1,2,4,7,Lost
154,135,4,2379,2,4,5,11,At Risk
155,173,1,530,2,1,2,5,Lost
156,245,2,690,1,2,2,5,Lost
157,167,3,1594,2,3,4,9,At Risk
158,65,4,896,3,4,3,10,Loyal
159,84,1,759,3,1,2,6,Potential Loyalists
160,2,4,2712,5,4,5,14,Loyal
161,78,2,615,3,2,2,7,Potential Loyalists
162,36,2,656,4,2,2,8,Potential Loyalists
163,229,2,603,1,2,2,5,Lost
164,289,3,2039,1,3,5,9,At Risk
165,49,4,2676,4,4,5,13,Loyal
166,193,1,756,2,1,2,5,Lost
167,117,1,108,2,1,1,4,Lost
168,55,3,1579,4,3,4,11,Loyal
170,78,4,1121,3,4,3,10,Loyal
171,91,1,631,3,1,2,6,Potential Loyalists
172,29,3,2353,5,3,5,13,Loyal
173,22,4,1557,5,4,4,13,Loyal
174,81,1,613,3,1,2,6,Potential Loyalists
175,45,1,240,4,1,1,6,Potential Loyalists
176,214,1,651,2,1,2,5,Lost
177,77,2,692,3,2,2,7,Potential Loyalists
178,8,2,946,5,2,3,10,Potential Loyalists
179,97,5,2172,3,5,5,13,Loyal
180,32,5,2263,5,5,5,15,Champions
181,64,1,324,4,1,1,6,Potential Loyalists
182,4,2,338,5,2,1,8,Potential Loyalists
184,70,2,1579,3,2,4,9,Potential Loyalists
185,38,1,152,4,1,1,6,Potential Loyalists
186,294,1,529,1,1,2,4,Lost
187,214,5,1391,2,5,4,11,At Risk
188,121,2,396,2,2,1,5,Lost
189,34,3,1020,5,3,3,11,Loyal
190,254,4,2226,1,4,5,10,At Risk
191,143,1,488,2,1,1,4,Lost
192,55,4,2576,4,4,5,13,Loyal
194,282,2,491,1,2,2,5,Lost
195,342,1,177,1,1,1,3,Lost
196,99,3,1411,3,3,4,10,Loyal
197,206,2,1265,2,2,4,8,Lost
198,22,4,1112,5,4,3,12,Loyal
199,265,1,140,1,1,1,3,Lost
200,85,1,552,3,1,2,6,Potential Loyalists
