customer_id,country,signup_date
1,Spain,2023-05-15
2,Italy,2023-02-10
3,Spain,2023-10-23
4,France,2023-01-03
5,Italy,2024-02-05
6,Italy,2023-07-13
7,Spain,2024-04-07
8,France,2023-04-20
9,Morocco,2023-08-09
10,Italy,2024-01-05
11,Morocco,2024-01-03
12,France,2024-03-11
13,Italy,2024-02-10
14,Italy,2023-01-04
15,Morocco,2023-09-01
16,Germany,2024-01-25
17,Morocco,2023-06-15
18,Morocco,2023-01-26
19,Germany,2024-01-30
20,France,2024-04-18
21,France,2023-01-17
22,Italy,2023-08-04
23,Spain,2023-04-02
24,Spain,2024-04-27
25,Italy,2023-01-31
26,Spain,2023-07-24
27,Morocco,2024-02-23
28,Morocco,2024-02-04
29,Germany,2023-07-26
30,Germany,2023-04-17
31,Italy,2023-05-26
32,Italy,2024-01-02
33,Italy,2023-04-11
34,Morocco,2024-01-03
35,Spain,2023-11-14
36,Italy,2024-01-03
37,Italy,2023-08-29
38,Morocco,2024-05-03
39,Morocco,2024-02-15
40,Morocco,2023-09-04
41,Spain,2023-06-12
42,Italy,2024-01-07
43,France,2023-06-22
44,France,2023-02-04
45,Italy,2023-10-11
46,Italy,2023-12-25
47,Italy,2024-01-16
48,Italy,2023-12-24
49,Spain,2024-01-28
50,France,2024-04-04
51,Germany,2024-02-03
52,France,2023-01-21
53,France,2023-11-04
54,Morocco,2023-06-12
55,Italy,2024-05-04
56,Italy,2023-04-07
57,Italy,2023-11-03
58,Morocco,2023-12-05
59,Spain,2023-02-24
60,Spain,2024-04-15
61,Germany,2023-11-29
62,Spain,2023-05-07
63,Spain,2024-03-03
64,Italy,2023-07-12
65,France,2023-08-31
66,Spain,2023-12-15
67,Spain,2023-03-29
68,Morocco,2023-12-02
69,Germany,2024-02-13
70,Morocco,2023-08-03
71,Italy,2023-04-02
72,France,2023-10-30
73,Germany,2024-04-08
74,Morocco,2023-08-23
75,Spain,2023-07-03
76,Spain,2023-02-07
77,Germany,2023-05-19
78,Spain,2023-07-14
79,Morocco,2023-01-15
80,Morocco,2023-09-14
81,Spain,2023-05-15
82,Spain,2023-01-01
83,Italy,2023-02-18
84,France,2023-04-06
85,Germany,2023-07-20
86,Morocco,2024-02-17
87,Germany,2023-01-26
88,Italy,2023-12-09
89,Morocco,2024-03-04
90,Italy,2023-08-23
91,Italy,2023-12-15
92,Spain,2023-09-01
93,Germany,2023-12-24
94,Germany,2024-04-25
95,Spain,2023-11-23
96,Germany,2024-01-31
97,Spain,2023-12-17
98,Morocco,2024-02-20
99,Italy,2024-01-09
100,Italy,2024-02-08
101,Germany,2024-01-10
102,France,2023-02-20
103,Italy,2023-03-22
104,Spain,2023-02-05
105,France,2023-03-08
106,France,2023-05-09
107,Italy,2024-01-05
108,Italy,2023-06-04
109,Italy,2023-09-02
110,Spain,2023-04-21
111,France,2023-06-17
112,Germany,2024-04-25
113,Spain,2024-04-12
114,Morocco,2023-05-22
115,Italy,2023-12-22
116,France,2023-07-16
117,Spain,2024-04-15
118,Morocco,2023-04-19
119,Spain,2024-01-11
120,Spain,2023-03-20
121,Germany,2024-01-25
122,Germany,2023-06-10
123,Spain,2024-03-14
124,Morocco,2023-01-19
125,France,2023-05-07
126,France,2023-07-24
127,Italy,2023-01-29
128,Italy,2024-03-20
129,France,2024-03-29
130,Spain,2023-07-26
131,Spain,2024-04-08
132,Germany,2023-10-07
133,Germany,2023-05-31
134,Italy,2023-08-28
135,France,2023-09-23
136,Spain,2023-07-01
137,France,2023-04-15
138,Morocco,2024-02-29
139,France,2024-03-08
140,Morocco,2024-02-05
141,Germany,2024-05-11
142,Germany,2024-03-15
143,Italy,2023-08-24
144,France,2023-06-22
145,France,2023-06-07
146,Morocco,2023-06-21
147,Germany,2024-05-08
148,Morocco,2024-04-02
149,Germany,2023-11-07
150,Morocco,2024-02-07
151,Germany,2023-06-06
152,Morocco,2023-09-15
153,Germany,2023-06-13
154,Morocco,2023-05-27
155,France,2024-01-26
156,Italy,2023-06-03
157,Morocco,2024-04-07
158,Italy,2024-01-02
159,France,2023-02-07
160,France,2023-05-11
161,Germany,2023-12-24
162,Italy,2023-09-12
163,Spain,2023-07-27
164,Germany,2024-03-25
165,Italy,2023-04-05
166,Morocco,2023-12-14
167,Morocco,2023-11-23
168,France,2024-04-22
169,Spain,2023-06-20
170,Morocco,2023-09-07
171,Italy,2023-07-09
172,Italy,2023-07-18
173,Morocco,2024-04-28
174,Italy,2023-08-09
175,Italy,2023-01-24
176,France,2023-09-01
177,Spain,2024-02-27
178,France,2023-11-20
179,Spain,2023-05-08
180,Italy,2023-04-03
181,Spain,2023-10-27
182,Italy,2023-05-13
183,Italy,2023-02-24
184,France,2024-04-21
185,France,2023-06-07
186,Germany,2023-01-29
187,Morocco,2024-02-14
188,Germany,2023-07-30
189,Germany,2023-06-03
190,Spain,2023-10-20
191,Italy,2024-04-19
192,Italy,2023-08-10
193,Italy,2023-04-25
194,Morocco,2024-03-12
195,Spain,2023-06-07
196,Spain,2023-09-16
197,Italy,2023-09-08
198,Germany,2023-05-02
199,Morocco,2023-10-26
200,Germany,2023-09-20
201,France,2024-01-16
202,Spain,2023-02-18
203,Spain,2024-01-12
204,Germany,2023-11-25
205,Morocco,2023-10-24
206,Spain,2023-12-28
207,Germany,2023-03-18
208,Morocco,2024-04-07
209,Germany,2024-03-13
210,Morocco,2023-05-07
211,Italy,2023-07-16
212,Morocco,2023-08-09
213,France,2024-04-27
214,Italy,2023-04-01
215,Germany,2024-02-15
216,Italy,2023-01-08
217,Italy,2023-02-01
218,Germany,2024-04-12
219,Germany,2023-11-16
220,France,2024-01-29
221,Germany,2023-09-26
222,Spain,2023-07-10
223,Spain,2023-12-15
224,France,2023-06-12
225,Morocco,2023-03-02
226,Morocco,2024-03-13
227,Spain,2023-09-21
228,Germany,2023-10-12
229,France,2023-04-05
230,Morocco,2023-02-10
231,Morocco,2024-02-18
232,Italy,2024-04-14
233,Spain,2023-05-29
234,Germany,2023-07-23
235,France,2023-09-24
236,Morocco,2023-01-02
237,Italy,2023-06-27
238,Spain,2024-02-29
239,Spain,2023-07-13
240,France,2024-04-26
241,Morocco,2024-01-22
242,France,2023-12-02
243,France,2024-03-10
244,Italy,2023-07-15
245,Spain,2023-12-09
246,Germany,2023-09-06
247,Spain,2024-05-12
248,Spain,2023-07-31
249,Italy,2023-06-02
250,Germany,2023-06-07
251,Morocco,2024-04-10
252,Germany,2023-12-28
253,Morocco,2023-05-19
254,Germany,2023-08-09
255,France,2023-09-30
256,Germany,2023-06-03
257,Italy,2023-09-06
258,Morocco,2023-10-06
259,Spain,2024-03-15
260,Italy,2024-03-11
261,Morocco,2023-10-31
262,Morocco,2023-10-03
263,Spain,2024-05-07
264,France,2023-01-02
265,Italy,2023-03-29
266,Spain,2023-10-14
267,Spain,2024-02-15
268,France,2023-05-10
269,Italy,2023-03-19
270,Spain,2023-09-17
271,France,2023-08-29
272,Italy,2023-05-21
273,Germany,2023-08-16
