order_item_id,order_id,order_date,order_month,order_year,status,is_completed,customer_id,country,signup_date,product_id,product_name,category,quantity,price,revenue
1,508,2024-10-14,2024-10-01,2024,Cancelled,False,170,Morocco,2023-09-07,48,Product_48,Hair,3,108,324
2,290,2024-08-26,2024-08-01,2024,Completed,True,256,Germany,2023-06-03,18,Product_18,Makeup,2,93,186
3,295,2024-06-25,2024-06-01,2024,Completed,True,54,Morocco,2023-06-12,16,Product_16,Makeup,2,27,54
4,451,2024-04-22,2024-04-01,2024,Completed,True,152,Morocco,2023-09-15,39,Product_39,Hair,2,54,108
5,904,2024-10-08,2024-10-01,2024,Completed,True,159,France,2023-02-07,4,Product_4,Body,4,117,468
6,215,2024-12-04,2024-12-01,2024,Completed,True,60,Spain,2024-04-15,25,Product_25,Hair,2,100,200
7,974,2024-02-16,2024-02-01,2024,Completed,True,152,Morocco,2023-09-15,32,Product_32,Body,5,68,340
8,632,2024-11-13,2024-11-01,2024,Cancelled,False,95,Spain,2023-11-23,40,Product_40,Hair,1,71,71
9,894,2024-08-11,2024-08-01,2024,Completed,True,97,Spain,2023-12-17,13,Product_13,Skin,4,68,272
10,567,2024-03-12,2024-03-01,2024,Completed,True,272,Italy,2023-05-21,45,Product_45,Body,2,58,116
11,27,2024-12-14,2024-12-01,2024,Completed,True,271,France,2023-08-29,17,Product_17,Hair,1,109,109
12,630,2024-06-26,2024-06-01,2024,Completed,True,288,France,2024-02-20,49,Product_49,Makeup,3,72,216
13,733,2024-01-14,2024-01-01,2024,Completed,True,216,Italy,2023-01-08,37,Product_37,Makeup,2,96,192
14,231,2024-09-22,2024-09-01,2024,Completed,True,116,France,2023-07-16,6,Product_6,Body,1,41,41
15,565,2024-04-26,2024-04-01,2024,Completed,True,12,France,2024-03-11,19,Product_19,Makeup,5,19,95
16,807,2024-11-01,2024-11-01,2024,Completed,True,203,Spain,2024-01-12,13,Product_13,Skin,3,20,60
17,321,2024-07-17,2024-07-01,2024,Completed,True,288,France,2024-02-20,26,Product_26,Makeup,5,111,555
18,913,2024-10-30,2024-10-01,2024,Completed,True,47,Italy,2024-01-16,14,Product_14,Body,1,79,79
19,233,2024-07-17,2024-07-01,2024,Completed,True,113,Spain,2024-04-12,31,Product_31,Body,5,114,570
20,670,2024-02-06,2024-02-01,2024,Completed,True,69,Germany,2024-02-13,4,Product_4,Body,1,71,71
21,437,2024-12-28,2024-12-01,2024,Returned,False,105,France,2023-03-08,39,Product_39,Hair,1,56,56
22,781,2024-09-07,2024-09-01,2024,Completed,True,289,Italy,2023-05-28,8,Product_8,Body,5,43,215
23,533,2024-09-30,2024-09-01,2024,Completed,True,220,France,2024-01-29,25,Product_25,Hair,1,109,109
24,403,2024-02-09,2024-02-01,2024,Completed,True,223,Spain,2023-12-15,13,Product_13,Skin,2,110,220
25,53,2024-08-10,2024-08-01,2024,Completed,True,191,Italy,2024-04-19,32,Product_32,Body,1,26,26
26,787,2024-10-11,2024-10-01,2024,Completed,True,4,France,2023-01-03,38,Product_38,Makeup,4,113,452
27,313,2024-11-14,2024-11-01,2024,Completed,True,13,Italy,2024-02-10,38,Product_38,Makeup,1,113,113
28,281,2024-02-08,2024-02-01,2024,Completed,True,280,Italy,2023-01-31,28,Product_28,Hair,4,63,252
29,726,2024-01-02,2024-01-01,2024,Completed,True,207,Germany,2023-03-18,30,Product_30,Hair,1,85,85
30,31,2024-09-03,2024-09-01,2024,Completed,True,55,Italy,2024-05-04,3,Product_3,Hair,1,94,94
31,337,2024-09-15,2024-09-01,2024,Completed,True,53,France,2023-11-04,28,Product_28,Hair,5,49,245
32,183,2024-03-13,2024-03-01,2024,Completed,True,247,Spain,2024-05-12,3,Product_3,Hair,2,28,56
33,23,2024-03-27,2024-03-01,2024,Completed,True,49,Spain,2024-01-28,45,Product_45,Body,2,76,152
34,544,2024-01-27,2024-01-01,2024,Returned,False,173,Morocco,2024-04-28,34,Product_34,Hair,3,91,273
35,446,2024-10-21,2024-10-01,2024,Completed,True,227,Spain,2023-09-21,16,Product_16,Makeup,5,62,310
36,74,2024-01-20,2024-01-01,2024,Returned,False,15,Morocco,2023-09-01,22,Product_22,Makeup,5,73,365
37,10,2024-04-22,2024-04-01,2024,Completed,True,88,Italy,2023-12-09,32,Product_32,Body,2,92,184
38,484,2024-09-26,2024-09-01,2024,Completed,True,57,Italy,2023-11-03,38,Product_38,Makeup,5,56,280
39,456,2024-12-19,2024-12-01,2024,Completed,True,268,France,2023-05-10,8,Product_8,Body,2,15,30
