order_item_id,order_id,product_id,quantity,price,revenue
1,508,48,3,108,324
2,290,18,2,93,186
3,295,16,2,27,54
4,451,39,2,54,108
5,904,4,4,117,468
6,215,25,2,100,200
7,974,32,5,68,340
8,632,40,1,71,71
9,894,13,4,68,272
10,567,45,2,58,116
11,27,17,1,109,109
12,630,49,3,72,216
13,733,37,2,96,192
14,231,6,1,41,41
15,565,19,5,19,95
16,807,13,3,20,60
17,321,26,5,111,555
18,913,14,1,79,79
19,233,31,5,114,570
20,670,4,1,71,71
21,437,39,1,56,56
22,781,8,5,43,215
23,533,25,1,109,109
24,403,13,2,110,220
25,53,32,1,26,26
26,787,38,4,113,452
27,313,38,1,113,113
28,281,28,4,63,252
29,726,30,1,85,85
30,31,3,1,94,94
31,337,28,5,49,245
32,183,3,2,28,56
33,23,45,2,76,152
34,544,34,3,91,273
35,446,16,5,62,310
36,74,22,5,73,365
37,10,32,2,92,184
38,484,38,5,56,280
39,456,8,2,15,30
40,566,8,5,25,125
41,564,6,1,81,81
42,660,14,2,27,54
43,160,32,2,61,122
44,882,35,4,57,228
45,14,10,5,52,260
46,178,3,5,48,240
47,412,12,2,58,116
48,878,49,1,21,21
49,53,31,1,118,118
50,408,29,1,19,19
51,847,5,5,80,400
52,22,25,4,119,476
53,30,41,2,64,128
54,703,31,3,10,30
55,260,21,4,58,232
56,205,20,3,45,135
57,59,39,4,30,120
58,471,22,1,46,46
59,776,4,5,33,165
60,466,13,3,64,192
61,12,45,4,34,136
62,631,42,5,16,80
63,927,50,3,115,345
64,974,49,2,90,180
65,290,20,4,102,408
66,850,13,2,103,206
67,760,17,1,80,80
68,354,36,2,106,212
69,639,33,2,80,160
70,75,1,4,33,132
71,873,15,1,20,20
72,716,13,2,82,164
73,561,17,5,21,105
74,591,24,3,44,132
75,441,8,2,72,144
76,991,50,1,77,77
77,241,27,2,109,218
78,861,45,3,101,303
79,154,23,1,66,66
80,786,46,4,22,88
81,96,8,1,32,32
82,726,8,4,92,368
83,294,26,1,115,115
84,209,47,3,110,330
85,343,13,3,48,144
86,88,39,1,97,97
87,818,37,2,89,178
88,776,49,3,106,318
89,937,28,4,21,84
90,390,25,4,43,172
91,325,16,5,80,400
92,940,2,4,84,336
93,889,18,5,40,200
94,832,17,1,102,102
95,157,30,1,71,71
96,668,39,1,22,22
97,651,13,2,40,80
98,633,32,2,11,22
99,577,50,5,112,560
100,619,29,4,24,96
101,659,46,4,66,264
102,137,30,1,84,84
103,923,18,3,43,129
104,674,13,2,112,224
105,428,43,2,77,154
106,452,21,1,84,84
107,612,30,2,38,76
108,850,21,1,75,75
109,911,48,5,25,125
110,819,17,4,48,192
111,141,40,3,86,258
112,83,19,4,46,184
113,177,15,4,90,360
114,198,9,5,30,150
115,624,10,2,53,106
116,568,44,3,28,84
117,972,31,2,80,160
118,691,23,4,111,444
119,421,30,1,17,17
120,401,33,4,86,344
121,698,9,2,110,220
122,471,47,4,75,300
123,218,1,1,50,50
124,925,44,5,84,420
125,929,35,2,97,194
126,828,11,4,79,316
127,987,34,2,70,140
128,729,16,5,35,175
129,632,9,4,80,320
130,951,32,4,112,448
131,906,15,2,92,184
132,175,12,2,79,158
133,23,33,1,116,116
134,725,45,5,38,190
135,917,14,1,116,116
136,235,8,4,112,448
137,13,8,2,75,150
138,101,27,4,28,112
139,929,12,4,77,308
140,536,1,3,67,201
141,876,43,3,79,237
142,523,40,4,66,264
143,785,42,2,46,92
144,452,11,4,70,280
145,431,39,3,101,303
146,793,43,2,39,78
147,606,31,4,80,320
148,713,17,5,82,410
149,533,33,5,34,170
150,852,32,4,106,424
151,979,29,2,74,148
152,723,21,4,15,60
153,652,21,4,27,108
154,293,40,3,19,57
155,810,23,5,101,505
156,913,6,3,20,60
157,101,22,3,106,318
158,502,50,4,74,296
159,304,38,3,86,258
160,871,37,5,110,550
161,540,45,3,93,279
162,553,8,5,74,370
163,355,41,3,61,183
164,303,49,5,76,380
165,496,35,3,91,273
166,658,11,3,114,342
167,768,24,2,87,174
168,974,49,5,40,200
169,227,21,5,100,500
170,236,2,5,26,130
171,873,40,1,64,64
172,892,19,3,119,357
173,455,39,5,102,510
174,13,28,1,45,45
175,210,17,2,110,220
176,741,6,5,35,175
177,397,19,5,62,310
178,100,38,1,26,26
179,31,28,3,95,285
180,898,2,2,34,68
181,528,38,5,11,55
182,649,37,3,95,285
183,329,4,2,14,28
184,166,22,4,13,52
185,459,26,4,45,180
186,822,49,2,15,30
187,952,43,1,30,30
188,982,36,2,86,172
189,993,13,2,110,220
190,100,32,1,98,98
191,621,17,1,35,35
192,855,41,3,64,192
193,173,36,3,48,144
194,749,46,1,93,93
195,162,19,4,42,168
196,905,35,4,23,92
197,728,46,2,65,130
198,776,40,5,109,545
199,263,28,2,90,180
200,804,1,2,30,60
201,274,42,5,55,275
202,3,18,1,25,25
203,28,48,4,119,476
204,326,40,2,25,50
205,940,33,5,93,465
206,149,12,3,38,114
207,540,8,2,101,202
208,488,24,4,17,68
209,822,16,1,97,97
210,438,50,2,12,24
211,65,4,2,98,196
212,356,38,5,28,140
213,533,44,3,106,318
214,252,27,3,75,225
215,235,9,1,88,88
216,227,47,4,95,380
217,525,16,1,83,83
218,313,12,2,91,182
219,49,31,2,31,62
220,118,24,3,55,165
221,54,14,4,100,400
222,650,45,5,22,110
223,565,25,4,42,168
224,44,34,2,14,28
225,815,3,5,99,495
226,53,24,4,86,344
227,586,42,4,36,144
228,558,9,5,87,435
229,525,26,2,33,66
230,677,20,4,76,304
231,102,40,5,72,360
232,792,10,2,103,206
233,770,19,5,108,540
234,982,3,5,57,285
235,849,24,4,72,288
236,868,5,2,87,174
237,398,3,4,21,84
238,138,27,1,37,37
239,675,16,1,53,53
240,921,49,2,102,204
241,387,15,5,52,260
242,111,35,4,26,104
243,614,12,4,49,196
244,17,41,2,58,116
245,780,44,2,94,188
246,182,26,1,66,66
247,884,47,3,96,288
248,536,34,2,93,186
249,541,23,3,73,219
250,171,31,2,84,168
251,409,50,5,66,330
252,740,20,5,107,535
253,378,12,1,83,83
254,188,23,1,83,83
255,858,4,3,116,348
256,230,23,2,79,158
257,833,48,4,109,436
258,852,48,1,97,97
259,119,1,4,85,340
260,156,25,4,52,208
261,784,2,2,32,64
262,687,30,3,36,108
263,465,3,2,67,134
264,104,21,1,118,118
265,604,25,4,46,184
266,698,20,2,15,30
267,972,49,2,74,148
268,795,22,2,15,30
269,502,21,1,59,59
270,693,33,3,31,93
271,682,38,2,114,228
272,699,15,1,97,97
273,175,46,4,34,136
274,734,15,5,88,440
275,745,46,1,99,99
276,674,25,5,81,405
277,421,21,2,60,120
278,134,24,2,97,194
279,391,5,1,57,57
280,992,6,5,111,555
281,736,49,2,79,158
282,501,43,4,108,432
283,665,48,3,115,345
284,33,44,3,74,222
285,55,47,2,69,138
286,954,23,5,55,275
287,519,4,2,45,90
288,756,27,5,67,335
289,825,18,4,85,340
290,638,21,5,47,235
291,12,28,2,20,40
292,528,35,4,21,84
293,720,22,1,51,51
294,555,40,3,48,144
295,373,23,2,80,160
296,484,3,2,20,40
297,973,40,2,45,90
298,647,50,4,61,244
299,228,10,1,40,40
300,623,25,5,42,210
301,307,49,1,22,22
302,457,8,4,27,108
303,160,11,2,50,100
304,331,5,3,67,201
305,776,45,2,65,130
306,225,37,5,33,165
307,983,45,3,82,246
308,729,38,2,40,80
309,504,29,3,64,192
310,456,5,1,114,114
311,45,9,4,19,76
312,214,48,2,69,138
313,59,2,5,11,55
314,644,1,1,111,111
315,616,40,2,24,48
316,195,30,1,12,12
317,925,11,5,52,260
318,489,28,2,40,80
319,157,44,5,79,395
320,610,12,3,76,228
321,226,39,5,65,325
322,412,26,3,72,216
323,205,13,2,84,168
324,79,8,3,24,72
325,124,28,2,118,236
326,471,30,2,101,202
327,940,9,4,19,76
328,218,39,2,47,94
329,516,31,3,56,168
330,602,21,4,66,264
331,104,47,4,59,236
332,393,34,2,80,160
333,631,31,5,24,120
334,645,25,5,27,135
335,824,12,4,91,364
336,608,1,2,114,228
337,980,22,5,97,485
338,434,40,2,11,22
339,331,37,2,113,226
340,143,47,4,93,372
341,800,1,4,107,428
342,540,1,1,52,52
343,278,42,5,35,175
344,233,42,5,80,400
345,529,21,5,47,235
346,571,15,3,103,309
347,90,17,2,51,102
348,492,22,4,14,56
349,199,38,5,20,100
350,362,35,1,74,74
351,441,45,5,43,215
352,26,16,2,10,20
353,25,8,2,92,184
354,394,47,4,11,44
355,507,17,3,94,282
356,301,17,4,29,116
357,339,26,5,70,350
358,267,13,1,96,96
359,461,17,4,30,120
360,693,38,3,97,291
361,456,17,4,77,308
362,360,48,2,21,42
363,68,14,5,31,155
364,863,45,5,29,145
365,412,6,5,91,455
366,971,35,5,10,50
367,491,46,5,39,195
368,833,14,5,106,530
369,49,47,1,33,33
370,687,8,3,23,69
371,564,15,5,45,225
372,102,27,3,78,234
373,216,13,5,84,420
374,438,49,4,33,132
375,700,31,5,69,345
376,569,35,2,104,208
377,559,6,1,64,64
378,159,5,4,86,344
379,489,22,4,89,356
380,686,49,2,33,66
381,242,23,5,86,430
382,794,25,1,33,33
383,753,34,4,63,252
384,882,26,1,35,35
385,5,47,4,75,300
386,596,5,5,89,445
387,820,26,4,47,188
388,361,20,4,119,476
389,459,6,3,74,222
390,248,6,5,84,420
391,566,50,2,60,120
392,673,18,2,44,88
393,946,4,5,52,260
394,422,17,2,38,76
395,923,14,5,46,230
396,738,14,2,90,180
397,15,13,3,67,201
398,736,7,2,63,126
399,573,44,4,48,192
400,122,15,5,51,255
401,277,19,1,37,37
402,558,43,1,38,38
403,453,47,5,52,260
404,390,44,3,12,36
405,294,35,2,19,38
406,574,17,3,68,204
407,598,35,1,115,115
408,446,19,5,23,115
409,210,20,5,85,425
410,590,36,3,56,168
411,714,35,3,51,153
412,302,32,2,103,206
413,909,48,4,41,164
414,223,44,4,41,164
415,734,40,2,51,102
416,3,24,4,41,164
417,990,17,1,35,35
418,518,7,4,10,40
419,93,43,2,65,130
420,520,50,4,115,460
421,428,1,5,11,55
422,493,35,3,90,270
423,235,32,1,39,39
424,620,36,5,112,560
425,161,13,5,80,400
426,721,6,2,61,122
427,752,14,3,100,300
428,331,37,3,18,54
429,333,48,1,31,31
430,50,15,2,43,86
431,523,47,1,119,119
432,863,4,4,58,232
433,668,40,5,10,50
434,492,16,1,82,82
435,582,28,5,93,465
436,681,16,2,62,124
437,272,4,4,92,368
438,580,45,2,109,218
439,867,26,4,49,196
440,252,28,4,54,216
441,560,32,5,77,385
442,696,45,2,18,36
443,832,2,2,114,228
444,699,31,1,31,31
445,90,3,2,27,54
446,446,8,1,85,85
447,332,24,3,115,345
448,139,15,3,52,156
449,357,43,3,48,144
450,601,31,2,82,164
451,274,9,2,15,30
452,19,39,1,92,92
453,983,45,4,57,228
454,311,2,1,16,16
455,870,8,3,89,267
456,886,7,1,78,78
457,978,44,4,25,100
