product_id,product_name,category,revenue,quantity_sold,orders,avg_price,revenue_share_pct
16,Product_16,Makeup,9732,135,44,73.59,3.13
45,Product_45,Body,9644,154,44,64.37,3.1
25,Product_25,Hair,9527,131,38,73.58,3.06
23,Product_23,Body,9426,132,46,68.87,3.03
6,Product_6,Body,8661,132,40,65.32,2.78
47,Product_47,Hair,8119,128,40,64.2,2.61
13,Product_13,Skin,8065,113,37,72.61,2.59
4,Product_4,Body,7788,120,37,65.03,2.5
32,Product_32,Body,7735,131,38,60.95,2.49
14,Product_14,Body,7474,100,34,72.44,2.4
26,Product_26,Makeup,7336,115,36,61.69,2.36
31,Product_31,Body,7215,103,34,69.51,2.32
43,Product_43,Hair,6846,98,34,64.51,2.2
15,Product_15,Makeup,6735,97,34,68.43,2.16
42,Product_42,Skin,6655,117,35,56.08,2.14
17,Product_17,Hair,6655,109,37,65.16,2.14
8,Product_8,Body,6546,87,31,76.06,2.1
7,Product_7,Hair,6339,103,32,64.81,2.04
35,Product_35,Skin,6329,110,35,61.83,2.03
20,Product_20,Hair,6292,95,29,62.93,2.02
40,Product_40,Hair,6127,90,28,66.03,1.97
19,Product_19,Makeup,6113,100,32,59.09,1.96
18,Product_18,Makeup,5990,96,36,61.65,1.93
12,Product_12,Skin,5989,94,29,63.69,1.93
44,Product_44,Body,5880,97,30,62.9,1.89
21,Product_21,Hair,5845,97,30,62.17,1.88
28,Product_28,Hair,5699,88,36,67.17,1.83
34,Product_34,Hair,5698,98,33,59.39,1.83
1,Product_1,Body,5642,101,34,57.83,1.81
50,Product_50,Skin,5627,74,27,72.61,1.81
49,Product_49,Makeup,5626,89,29,64.42,1.81
30,Product_30,Hair,5548,92,32,58.81,1.78
38,Product_38,Makeup,5547,91,27,63.74,1.78
29,Product_29,Makeup,5485,98,32,55.61,1.76
5,Product_5,Skin,5429,74,27,72.19,1.75
22,Product_22,Makeup,5395,84,33,60.42,1.73
33,Product_33,Hair,5264,80,28,67.79,1.69
39,Product_39,Hair,5259,88,29,61.52,1.69
36,Product_36,Skin,4948,70,25,71.4,1.59
27,Product_27,Makeup,4941,82,28,61.75,1.59
48,Product_48,Hair,4936,86,26,61.37,1.59
24,Product_24,Hair,4784,79,29,64.5,1.54
41,Product_41,Skin,4745,73,24,60.38,1.53
9,Product_9,Makeup,4637,86,26,53.31,1.49
46,Product_46,Makeup,4617,71,27,64.26,1.48
10,Product_10,Hair,4606,62,23,66.91,1.48
2,Product_2,Skin,4591,84,30,56.37,1.48
37,Product_37,Makeup,4574,76,26,62.52,1.47
11,Product_11,Makeup,4357,64,19,64.76,1.4
3,Product_3,Hair,4093,74,26,55.0,1.32
