order_id,product_id,quantity,price
508,48,3,108
290,18,2,93
295,16,2,27
451,39,2,54
904,4,4,117
215,25,2,100
974,32,5,68
632,40,1,71
894,13,4,68
567,45,2,58
27,17,1,109
630,49,3,72
733,37,2,96
231,6,1,41
565,19,5,19
807,13,3,20
321,26,5,111
913,14,1,79
233,31,5,114
670,4,1,71
437,39,1,56
781,8,5,43
533,25,1,109
403,13,2,110
53,32,1,26
787,38,4,113
313,38,1,113
281,28,4,63
726,30,1,85
31,3,1,94
337,28,5,49
183,3,2,28
23,45,2,76
544,34,3,91
446,16,5,62
74,22,5,73
10,32,2,92
484,38,5,56
456,8,2,15
566,8,5,25
564,6,1,81
660,14,2,27
160,32,2,61
882,35,4,57
14,10,5,52
178,3,5,48
412,12,2,58
878,49,1,21
53,31,1,118
408,29,1,19
847,5,5,80
22,25,4,119
30,41,2,64
703,31,3,10
260,21,4,58
205,20,3,45
59,39,4,30
471,22,1,46
776,4,5,33
466,13,3,64
12,45,4,34
631,42,5,16
927,50,3,115
974,49,2,90
290,20,4,102
850,13,2,103
760,17,1,80
354,36,2,106
639,33,2,80
75,1,4,33
873,15,1,20
716,13,2,82
561,17,5,21
591,24,3,44
441,8,2,72
991,50,1,77
241,27,2,109
861,45,3,101
154,23,1,66
786,46,4,22
96,8,1,32
726,8,4,92
294,26,1,115
209,47,3,110
343,13,3,48
88,39,1,97
818,37,2,89
776,49,3,106
937,28,4,21
390,25,4,43
325,16,5,80
940,2,4,84
889,18,5,40
832,17,1,102
157,30,1,71
668,39,1,22
651,13,2,40
633,32,2,11
577,50,5,112
619,29,4,24
659,46,4,66
137,30,1,84
923,18,3,43
674,13,2,112
428,43,2,77
452,21,1,84
612,30,2,38
850,21,1,75
911,48,5,25
819,17,4,48
141,40,3,86
83,19,4,46
177,15,4,90
198,9,5,30
624,10,2,53
568,44,3,28
972,31,2,80
691,23,4,111
421,30,1,17
401,33,4,86
698,9,2,110
471,47,4,75
218,1,1,50
925,44,5,84
929,35,2,97
828,11,4,79
987,34,2,70
729,16,5,35
632,9,4,80
951,32,4,112
906,15,2,92
175,12,2,79
23,33,1,116
725,45,5,38
917,14,1,116
235,8,4,112
13,8,2,75
101,27,4,28
929,12,4,77
536,1,3,67
876,43,3,79
523,40,4,66
785,42,2,46
452,11,4,70
431,39,3,101
793,43,2,39
606,31,4,80
713,17,5,82
533,33,5,34
852,32,4,106
979,29,2,74
723,21,4,15
652,21,4,27
293,40,3,19
810,23,5,101
913,6,3,20
101,22,3,106
502,50,4,74
304,38,3,86
871,37,5,110
540,45,3,93
553,8,5,74
355,41,3,61
303,49,5,76
496,35,3,91
658,11,3,114
768,24,2,87
974,49,5,40
227,21,5,100
236,2,5,26
873,40,1,64
892,19,3,119
455,39,5,102
13,28,1,45
210,17,2,110
741,6,5,35
397,19,5,62
100,38,1,26
31,28,3,95
898,2,2,34
528,38,5,11
649,37,3,95
329,4,2,14
166,22,4,13
459,26,4,45
822,49,2,15
952,43,1,30
982,36,2,86
993,13,2,110
100,32,1,98
621,17,1,35
855,41,3,64
173,36,3,48
749,46,1,93
162,19,4,42
905,35,4,23
728,46,2,65
776,40,5,109
263,28,2,90
804,1,2,30
274,42,5,55
3,18,1,25
28,48,4,119
326,40,2,25
940,33,5,93
149,12,3,38
540,8,2,101
488,24,4,17
822,16,1,97
