order_id,customer_id,order_date,status
1,103,2024-10-31,Completed
2,271,2024-10-12,Completed
3,107,2024-05-23,Completed
4,72,2024-01-19,Completed
5,189,2024-01-18,Completed
6,21,2024-09-13,Completed
7,103,2024-03-18,Completed
8,122,2024-06-23,Cancelled
9,215,2024-07-12,Completed
10,88,2024-04-22,Completed
11,100,2024-04-23,Completed
12,152,2024-08-09,Completed
13,131,2024-06-14,Completed
14,150,2024-11-14,Completed
15,258,2024-05-11,Completed
16,294,2024-09-20,Completed
17,192,2024-02-24,Completed
18,277,2024-12-24,Completed
19,161,2024-05-10,Returned
20,22,2024-10-14,Completed
21,253,2024-09-22,Completed
22,236,2024-06-10,Completed
23,49,2024-03-27,Completed
24,59,2024-02-24,Completed
25,170,2024-10-14,Completed
26,188,2024-06-26,Returned
27,271,2024-12-14,Completed
28,190,2024-01-08,Completed
29,175,2024-11-16,Completed
30,51,2024-11-08,Completed
31,55,2024-09-03,Completed
32,244,2024-11-18,Completed
33,131,2024-09-11,Completed
34,135,2024-11-23,Cancelled
35,21,2024-02-23,Completed
36,167,2024-09-05,Completed
37,274,2024-08-26,Completed
38,89,2024-08-16,Completed
39,14,2024-03-07,Completed
40,242,2024-02-20,Completed
41,265,2024-04-06,Completed
42,53,2024-04-01,Cancelled
43,92,2024-09-20,Completed
44,264,2024-10-17,Completed
45,35,2024-04-05,Cancelled
46,206,2024-03-28,Completed
47,81,2024-03-18,Completed
48,50,2024-10-14,Completed
49,2,2024-04-29,Completed
50,54,2024-10-28,Completed
51,106,2024-06-13,Returned
52,260,2024-06-30,Completed
53,191,2024-08-10,Completed
54,218,2024-11-06,Completed
55,44,2024-01-07,Completed
56,162,2024-11-25,Completed
57,202,2024-09-19,Completed
58,270,2024-06-09,Returned
59,271,2024-05-30,Completed
60,215,2024-03-25,Completed
61,252,2024-05-26,Completed
62,190,2024-04-21,Completed
63,296,2024-02-05,Completed
64,213,2024-10-11,Completed
65,208,2024-07-06,Completed
66,237,2024-03-22,Completed
67,53,2024-01-02,Completed
68,280,2024-10-29,Completed
69,217,2024-07-15,Returned
70,252,2024-01-11,Completed
71,188,2024-08-21,Completed
72,41,2024-07-13,Completed
73,157,2024-04-28,Returned
74,15,2024-01-20,Returned
75,65,2024-09-17,Completed
76,9,2024-10-19,Cancelled
77,129,2024-09-12,Completed
78,136,2024-08-09,Completed
79,63,2024-08-13,Completed
80,139,2024-02-22,Completed
81,81,2024-12-20,Completed
82,163,2024-12-07,Cancelled
83,289,2024-12-29,Completed
84,261,2024-10-06,Completed
85,231,2024-03-21,Completed
86,41,2024-07-20,Completed
87,28,2024-06-06,Completed
88,135,2024-04-29,Completed
89,201,2024-02-28,Completed
90,268,2024-08-02,Returned
91,33,2024-05-07,Completed
92,48,2024-08-11,Completed
93,62,2024-07-27,Completed
94,216,2024-04-24,Completed
95,293,2024-07-27,Completed
96,99,2024-01-14,Completed
97,172,2024-01-09,Returned
98,214,2024-02-09,Completed
99,35,2024-08-24,Returned
100,227,2024-10-07,Cancelled
101,101,2024-12-24,Completed
102,131,2024-07-19,Returned
103,257,2024-09-02,Completed
104,5,2024-10-04,Cancelled
105,218,2024-08-22,Completed
106,255,2024-01-04,Cancelled
107,283,2024-06-02,Cancelled
108,207,2024-01-29,Cancelled
109,15,2024-04-18,Completed
110,42,2024-04-07,Completed
