product_id,product_name,category
1,Product_1,Body
2,Product_2,Skin
3,Product_3,Hair
4,Product_4,Body
5,Product_5,Skin
6,Product_6,Body
7,Product_7,Hair
8,Product_8,Body
9,Product_9,Makeup
10,Product_10,Hair
11,Product_11,Makeup
12,Product_12,Skin
13,Product_13,Skin
14,Product_14,Body
15,Product_15,Makeup
16,Product_16,Makeup
17,Product_17,Hair
18,Product_18,Makeup
19,Product_19,Makeup
20,Product_20,Hair
21,Product_21,Hair
22,Product_22,Makeup
23,Product_23,Body
24,Product_24,Hair
25,Product_25,Hair
26,Product_26,Makeup
27,Product_27,Makeup
28,Product_28,Hair
29,Product_29,Makeup
30,Product_30,Hair
31,Product_31,Body
32,Product_32,Body
33,Product_33,Hair
34,Product_34,Hair
35,Product_35,Skin
36,Product_36,Skin
37,Product_37,Makeup
38,Product_38,Makeup
39,Product_39,Hair
40,Product_40,Hair
41,Product_41,Skin
42,Product_42,Skin
43,Product_43,Hair
44,Product_44,Body
45,Product_45,Body
46,Product_46,Makeup
47,Product_47,Hair
48,Product_48,Hair
49,Product_49,Makeup
50,Product_50,Skin
